track_id,name,album,artist,release_date,length,popularity_x,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genres,followers,popularity_y
74Nh6QlxHbsV02QkX4jvlM,"Miroirs: IV. Alborada del gracioso, M. 43","Ravel: Miroirs, Gaspard de la nuit, Pavane",Maurice Ravel,2012-04-23,367946,18,0.424,0.994,0.104,0.915,0.115,-21.888,0.048,143.431,3,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
6HEgXzoNp2YrGEmf7JkrAf,Tzigane (version for violin and orchestra),Ravel: Bolero / Daphnis Et Chloe / Piano Concerto / Ma Mere L'Oye,Maurice Ravel,1997-01-01,577440,21,0.38,0.976,0.115,0.707,0.0725,-20.513,0.0519,123.354,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
2qhAOKSbcL00PDPCLwnWkV,"Piano Trio in A Minor, M. 67: III. Passacaille. Très large",Ravel and Shostakovich: Piano Trios,Smetana Trio,2014-03-21,475146,17,0.0797,0.977,0.00383,0.9,0.0982,-29.752,0.0408,78.367,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
3i8BoV0sPzdjagK9HN0CwX,Daphnis et Chloe: Part III: Bacchanale,Ravel: Daphnis and Chloe,Maurice Ravel,2006-11-21,284853,22,0.314,0.787,0.368,0.729,0.279,-17.441,0.0534,81.536,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
3U34uG4BRoMb0lrlrOhtxC,"Trois chansons, M.69: 2. Trois beaux oiseaux du Paradis",Fauré: Requiem / Debussy: Trois chansons de Charles d'Orléans / Saint-Saëns: Calme des nuits,The Monteverdi Choir,1994-01-01,201000,42,0.201,0.971,0.0113,0.000853,0.0678,-37.468,0.0447,128.673,1,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
1vRDKkxMscAH1o8emcDbcw,"Ravel: Miroirs, M. 43: V. La Vallée des cloches",Ravel: Complete Works for Solo Piano,Maurice Ravel,2016-01-15,366333,42,0.439,0.995,0.00257,0.936,0.0715,-32.686,0.0583,131.858,3,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
26zjWbaWsaFmzKC2pfkgS5,"Valses nobles et sentimentales, M.61: 5. Presque lent - dans un sentiment intime",Ravel: Alborada del Gracioso; La Valse; Rhapsodie Espagnole etc.,Maurice Ravel,2000-01-01,85840,15,0.169,0.974,0.0263,0.937,0.156,-28.311,0.0374,127.46,5,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
096k5SFpkNGGcmSVOQE0lI,"L'enfant et les sortilèges, M. 71, Pt. 2: Part II: Il est bon, l'enfant, il est sage (The Beasts, L'enfant)","Ravel: L'enfant et les sortilèges, M. 71 & Ma mère l'oye, M. 62",Maurice Ravel,2015-10-02,162586,23,0.152,0.983,0.0584,0.00762,0.31,-29.792,0.0411,105.226,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
64lpFLGwcXNgCnYELyZBpl,"Miroirs, M. 43: No. 2. Oiseaux tristes","Ravel: Miroirs, Gaspard de la nuit & Pavane pour une infante défunte",Maurice Ravel,2015-07-10,212026,20,0.365,0.988,0.0215,0.858,0.103,-26.203,0.039,70.124,3,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
6d2XbcMGhW3wT6OQPA8nl3,Shéhérazade: No. 3. L'Indifférent,"Ravel: Orchestral Works, Vol. 5",Maurice Ravel,2017-04-14,239120,20,0.138,0.951,0.0158,0.000112,0.104,-28.671,0.0481,171.148,1,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
