track_id,name,album,artist,release_date,length,popularity_x,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genres,followers,popularity_y
6Uy6K3KdmUdAfelUp0SeXn,Brave,The Blessed Unrest,Sara Bareilles,2013-07-16,220573,72,0.551,0.00502,0.836,2.1e-05,0.0425,-3.838,0.0524,185.063,4,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']",1898847,66
1nZzRJbFvCEct3uzu04ZoL,Part Of Me,Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,216160,77,0.678,0.000417,0.918,0.0,0.0744,-4.63,0.0355,130.028,4,['pop'],27286428,84
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,86,0.609,0.835,0.378,0.0,0.28,-9.828,0.438,100.418,4,"['canadian pop', 'pop']",72266711,89
3SPDQfj2UfWq6A2NllZnzn,What Makes You Beautiful,Up All Night,One Direction,2012-05-25,198053,1,0.729,0.00761,0.771,0.0,0.087,-2.451,0.0725,125.011,4,"['boy band', 'pop', 'post-teen pop', 'talent show']",31297571,85
6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Woodstock,Portugal. The Man,2017-06-16,163253,81,0.801,0.0417,0.795,0.000113,0.0717,-5.115,0.0504,79.028,4,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",1383873,67
5BTpeKg0dwxGmyELhIpkj8,Paparazzi,The Fame,Lady Gaga,2008-01-01,208320,0,0.761,0.126,0.729,0.0,0.0955,-3.081,0.0415,114.924,4,"['art pop', 'dance pop', 'pop']",26653702,85
6F5c58TMEs1byxUstkzVeM,Roar,PRISM (Deluxe),Katy Perry,2013-10-18,223546,75,0.554,0.00487,0.772,6.6e-06,0.354,-4.821,0.0418,179.984,4,['pop'],27286428,84
0tgVpDi06FyKpA1z0VMD4v,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,90,0.599,0.163,0.448,0.0,0.106,-6.312,0.0232,95.05,3,"['pop', 'uk pop']",112455903,91
2l8w0zZVn4AZNuzrht7MRT,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,2015-11-13,252534,53,0.475,0.247,0.606,0.0,0.125,-6.646,0.0346,94.994,4,"['indietronica', 'metropopolis', 'pop', 'uk pop']",12006127,81
5ybJm6GczjQOgTqmJ0BomP,22,Red,Taylor Swift,2012-10-22,232120,0,0.662,0.00274,0.736,0.000844,0.0464,-6.511,0.0374,104.003,4,['pop'],75809975,100
2Zj4FUsMtu9PMuJsHbGbdv,Applause,ARTPOP,Lady Gaga,2013-01-01,212333,0,0.669,0.0265,0.78,1.63e-06,0.143,-4.287,0.053,139.945,4,"['art pop', 'dance pop', 'pop']",26653702,85
6NPVjNh8Jhru9xOmyQigds,Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Various Artists,2013-06-18,233305,1,0.652,0.286,0.757,0.0,0.0886,-6.819,0.153,159.911,4,"['dance pop', 'pop']",4199295,80
0afhq8XCExXpqazXczTSve,Galway Girl,÷ (Deluxe),Ed Sheeran,2017-03-03,170826,81,0.624,0.0735,0.876,0.0,0.327,-3.374,0.1,99.943,4,"['pop', 'uk pop']",112455903,91
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Stories,Avicii,2015-10-02,230613,84,0.579,0.31,0.736,0.0,0.198,-3.863,0.0527,127.999,4,"['edm', 'pop', 'pop dance']",22894859,81
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Kiss,Carly Rae Jepsen,2012-01-01,193400,83,0.783,0.0114,0.58,2.28e-06,0.108,-6.548,0.0408,120.021,4,"['canadian pop', 'dance pop', 'pop']",5206411,72
55h7vJchibLdUkxdlX3fK7,Treasure,Unorthodox Jukebox,Bruno Mars,2012-12-07,178560,82,0.874,0.0412,0.692,7.24e-05,0.324,-5.28,0.0431,116.017,4,"['dance pop', 'pop']",48489803,87
580t2NTEMOuCHV1sN3uhyD,Blank Space,1989,Taylor Swift,2014-10-27,231826,0,0.752,0.085,0.678,1.64e-06,0.13,-5.421,0.0646,96.009,4,['pop'],75809975,100
4rHZZAmHpZrA3iH5zx8frV,Mirrors,The 20/20 Experience (Deluxe Version),Justin Timberlake,2013-03-15,484146,80,0.574,0.234,0.512,0.0,0.0946,-6.664,0.0503,76.899,4,"['dance pop', 'pop']",12944959,79
22VdIZQfgXJea34mQxlt81,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,2015-08-28,213520,84,0.705,0.113,0.769,0.0,0.105,-5.526,0.0425,107.949,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",65720504,95
18AJRdgUoO9EYn11N7xzaT,Habits (Stay High),Queen Of The Clouds,Tove Lo,2014-09-24,209160,76,0.733,0.0703,0.65,6.59e-05,0.0829,-3.539,0.0315,110.003,4,"['metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",3400894,74
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,Native,OneRepublic,2014-01-01,257840,78,0.664,0.0654,0.705,0.0,0.115,-4.972,0.0382,122.017,4,"['piano rock', 'pop']",15654989,83
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,x (Deluxe Edition),Ed Sheeran,2014-06-21,258986,87,0.614,0.607,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4,"['pop', 'uk pop']",112455903,91
3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),Pitbull,2012,204160,84,0.581,0.0295,0.963,0.0,0.139,-4.087,0.0981,129.992,4,"['dance pop', 'miami hip hop', 'pop']",10023789,82
0C4ejWmOTMv8vuYj85mf8m,S&M,Loud,Rihanna,2010-11-16,243533,75,0.767,0.0113,0.682,0.00016,0.104,-5.02,0.042,127.975,4,"['barbadian pop', 'pop', 'urban contemporary']",55519329,90
5PsMbxhgWpJMsouEfDTX6r,Locked out of Heaven,Locked out of Heaven,Bruno Mars,2012-10-02,233478,45,0.726,0.049,0.698,0.0,0.309,-4.165,0.0431,143.994,4,"['dance pop', 'pop']",48489803,87
4Ub8UsjWuewQrPhuepfVpd,Pompeii,All This Bad Blood,Bastille,2013-01-01,214147,78,0.679,0.0755,0.715,0.0,0.271,-6.383,0.0407,127.435,4,"['metropopolis', 'modern rock', 'pop']",5365446,74
